date,product_id,qty,payment
2023-08-05 10:30:00,G01,3,7.5
2023-08-12 14:15:00,G03,2,11.98
2023-08-20 09:45:00,G05,1,4.5
2023-09-02 11:00:00,G02,4,7.0
2023-09-10 16:30:00,G07,3,6.0
2023-09-18 13:20:00,G01,2,5.0
2023-09-25 10:10:00,G12,5,9.5
2023-10-01 08:30:00,G04,2,6.4
2023-10-05 12:00:00,G06,6,7.2
2023-10-10 15:45:00,G09,1,3.8
2023-10-15 14:30:00,G01,2,5.0
2023-10-16 09:15:00,G03,1,5.99
2023-10-18 11:30:00,G10,2,8.5
2023-10-20 14:00:00,G17,1,7.5
2023-10-22 16:45:00,G20,4,6.4
2023-11-01 09:00:00,G02,3,5.25
2023-11-05 10:30:00,G08,2,3.0
2023-11-10 13:15:00,G15,1,2.1
2023-11-15 11:45:00,G11,2,7.0
2023-11-18 14:30:00,G14,3,8.4
2023-11-22 09:20:00,G01,4,10.0
2023-11-25 16:00:00,G06,3,3.6
2023-12-01 10:00:00,G13,1,6.5
2023-12-05 12:30:00,G04,3,9.6
2023-12-10 14:45:00,G18,2,6.0
2023-12-12 08:15:00,G19,10,7.5
2023-12-15 11:00:00,G05,2,9.0
2023-12-18 15:30:00,G03,3,17.97
2023-12-20 09:45:00,G16,2,1.98
2023-12-22 13:00:00,G07,4,8.0
2023-12-25 10:30:00,G20,5,8.0
2023-12-28 14:15:00,G17,2,15.0
2024-01-02 09:00:00,G01,3,7.5
2024-01-05 11:30:00,G02,2,3.5
2024-01-10 14:00:00,G09,2,7.6
2024-01-15 10:15:00,G12,4,7.6
2026-05-05 11:35:49,G01,2,5.0
